model,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.7143,0.6087,0.5185,0.56,0.823
Decision Tree,0.7692,0.6842,0.6111,0.6452,0.8056
Random Forest,0.7468,0.6531,0.5926,0.6214,0.8143
Support Vector Machine,0.7208,0.6341,0.4815,0.5474,0.797
Multi-Layer Perceptron,0.7532,0.6818,0.5556,0.6122,0.8467
