Seed,Accuracy,Precision,Recall,F1
42,1.0,1.0,1.0,1.0
7,0.975,0.9615384615384616,1.0,0.9803921568627451
123,1.0,1.0,1.0,1.0
Mean,0.9916666666666667,0.9871794871794872,1.0,0.9934640522875817
Std,0.014433756729740658,0.02220577958421636,0.0,0.011320593513522097
