Feature,Importance
Glucose,0.2658868053811279
BMI,0.16138648671414893
Age,0.13113125813600346
DiabetesPedigreeFunction,0.1270571026162925
BloodPressure,0.08633732321417976
Pregnancies,0.08398623024133924
Insulin,0.07394156484166493
SkinThickness,0.07027322885524338
