Configuration,Accuracy,Precision,Recall,F1 Score
Static MLP,0.7532,0.6818,0.5556,0.6122
Adaptive MLP,0.7317599554441659,0.6634502923976607,0.4654508203414633,0.5232115635926888
Adaptive + Proactive,0.65,0.4852967209583402,0.804614835439423,0.5979061363025908
