Batch,Accuracy,F1,Threshold
1,0.7631578947368421,0.25,0.5
2,0.5526315789473685,0.19047619047619047,0.5
3,0.5789473684210527,0.4482758620689655,0.5
4,0.7368421052631579,0.6,0.5
5,0.7631578947368421,0.5909090909090909,0.5
6,0.8157894736842105,0.5333333333333333,0.5
7,0.8026315789473685,0.6511627906976745,0.5
8,0.7368421052631579,0.5238095238095238,0.5
9,0.7738095238095238,0.6122448979591837,0.5
