Window,Accuracy,Precision,Recall,F1,Threshold
3,0.6052631578947368,0.5,0.23333333333333334,0.3181818181818182,0.5
4,0.6710526315789473,0.6,0.32142857142857145,0.4186046511627907,0.5
5,0.631578947368421,0.6,0.10344827586206896,0.17647058823529413,0.5
6,0.7763157894736842,0.42105263157894735,0.5714285714285714,0.48484848484848486,0.5
7,0.6973684210526315,0.0,0.0,0.0,0.5
Mean,0.6763157894736842,0.4242105263157895,0.24592775041050902,0.27962110848567756,-
