Window,Accuracy,Precision,Recall,F1,Threshold
3,0.618421052631579,0.5106382978723404,0.8,0.6233766233766234,0.4
4,0.6710526315789473,0.5428571428571428,0.6785714285714286,0.6031746031746031,0.4
5,0.7105263157894737,0.6129032258064516,0.6551724137931034,0.6333333333333333,0.4
6,0.7105263157894737,0.3333333333333333,0.5714285714285714,0.42105263157894735,0.5
7,0.7236842105263158,0.5294117647058824,0.782608695652174,0.631578947368421,0.4
