FPR,TPR
0.0,0.0
0.0,0.037037037037037035
0.0,0.05555555555555555
0.01,0.07407407407407407
0.01,0.09259259259259259
0.01,0.12962962962962962
0.01,0.14814814814814814
0.02,0.16666666666666666
0.02,0.2037037037037037
0.03,0.2037037037037037
0.03,0.24074074074074073
0.04,0.24074074074074073
0.04,0.25925925925925924
0.05,0.25925925925925924
0.05,0.2777777777777778
0.06,0.2962962962962963
0.06,0.4074074074074074
0.07,0.4074074074074074
0.07,0.4444444444444444
0.08,0.4444444444444444
0.08,0.48148148148148145
0.11,0.48148148148148145
0.11,0.5
0.12,0.5
0.12,0.5370370370370371
0.13,0.5370370370370371
0.13,0.5740740740740741
0.14,0.5925925925925926
0.17,0.5925925925925926
0.17,0.6296296296296297
0.19,0.6296296296296297
0.2,0.6481481481481481
0.2,0.6666666666666666
0.26,0.6666666666666666
0.26,0.7037037037037037
0.27,0.7222222222222222
0.28,0.7222222222222222
0.28,0.7407407407407407
0.29,0.7407407407407407
0.3,0.7592592592592593
0.32,0.7777777777777778
0.33,0.7777777777777778
0.33,0.8148148148148148
0.35,0.8148148148148148
0.38,0.8703703703703703
0.39,0.8703703703703703
0.39,0.8888888888888888
0.42,0.8888888888888888
0.46,0.8888888888888888
0.48,0.8888888888888888
0.49,0.8888888888888888
0.5,0.9074074074074074
0.52,0.9074074074074074
0.53,0.9259259259259259
0.54,0.9259259259259259
0.56,0.9259259259259259
0.58,0.9259259259259259
0.61,0.9444444444444444
0.63,0.9444444444444444
0.66,0.9629629629629629
0.67,0.9814814814814815
0.69,0.9814814814814815
0.71,0.9814814814814815
0.72,0.9814814814814815
0.82,0.9814814814814815
0.87,1.0
0.89,1.0
0.94,1.0
1.0,1.0
