FPR,TPR
0.0,0.0
0.0,0.018518518518518517
0.0,0.14814814814814814
0.01,0.14814814814814814
0.01,0.18518518518518517
0.04,0.18518518518518517
0.04,0.2222222222222222
0.06,0.2222222222222222
0.06,0.25925925925925924
0.07,0.25925925925925924
0.07,0.2962962962962963
0.08,0.2962962962962963
0.08,0.37037037037037035
0.09,0.37037037037037035
0.09,0.46296296296296297
0.17,0.46296296296296297
0.17,0.48148148148148145
0.2,0.48148148148148145
0.2,0.5555555555555556
0.21,0.5555555555555556
0.21,0.6111111111111112
0.22,0.6111111111111112
0.22,0.6296296296296297
0.23,0.6296296296296297
0.23,0.6481481481481481
0.25,0.6481481481481481
0.25,0.7592592592592593
0.29,0.7592592592592593
0.29,0.8148148148148148
0.3,0.8148148148148148
0.3,0.8703703703703703
0.32,0.8703703703703703
0.32,0.8888888888888888
0.39,0.8888888888888888
0.39,0.9074074074074074
0.4,0.9074074074074074
0.4,0.9259259259259259
0.48,0.9259259259259259
0.48,0.9444444444444444
0.49,0.9444444444444444
0.49,0.9629629629629629
0.5,0.9629629629629629
0.5,0.9814814814814815
0.86,0.9814814814814815
0.86,1.0
1.0,1.0
