FPR,TPR
0.0,0.0
0.0,0.018518518518518517
0.0,0.16666666666666666
0.01,0.16666666666666666
0.01,0.2222222222222222
0.04,0.2222222222222222
0.04,0.24074074074074073
0.05,0.24074074074074073
0.05,0.2777777777777778
0.06,0.2777777777777778
0.06,0.42592592592592593
0.07,0.42592592592592593
0.07,0.4444444444444444
0.14,0.4444444444444444
0.14,0.46296296296296297
0.15,0.46296296296296297
0.15,0.48148148148148145
0.16,0.48148148148148145
0.16,0.5370370370370371
0.17,0.5370370370370371
0.17,0.6111111111111112
0.18,0.6111111111111112
0.18,0.6481481481481481
0.19,0.6481481481481481
0.19,0.6666666666666666
0.21,0.6666666666666666
0.21,0.7592592592592593
0.22,0.7592592592592593
0.22,0.7962962962962963
0.26,0.7962962962962963
0.26,0.8148148148148148
0.27,0.8148148148148148
0.27,0.8703703703703703
0.33,0.8703703703703703
0.33,0.8888888888888888
0.34,0.8888888888888888
0.34,0.9074074074074074
0.37,0.9074074074074074
0.37,0.9259259259259259
0.43,0.9259259259259259
0.43,0.9444444444444444
0.53,0.9444444444444444
0.53,0.9629629629629629
0.55,0.9629629629629629
0.55,0.9814814814814815
0.81,0.9814814814814815
0.81,1.0
1.0,1.0
