FPR,TPR
0.0,0.0
0.0,0.018518518518518517
0.0,0.07407407407407407
0.01,0.07407407407407407
0.01,0.09259259259259259
0.03,0.09259259259259259
0.03,0.16666666666666666
0.04,0.16666666666666666
0.04,0.2222222222222222
0.05,0.2222222222222222
0.05,0.25925925925925924
0.06,0.25925925925925924
0.06,0.3148148148148148
0.07,0.3148148148148148
0.07,0.35185185185185186
0.1,0.35185185185185186
0.1,0.48148148148148145
0.2,0.48148148148148145
0.2,0.5370370370370371
0.22,0.5370370370370371
0.22,0.6666666666666666
0.26,0.6666666666666666
0.26,0.7037037037037037
0.27,0.7037037037037037
0.27,0.7407407407407407
0.28,0.7407407407407407
0.28,0.7592592592592593
0.29,0.7592592592592593
0.29,0.7777777777777778
0.3,0.7777777777777778
0.3,0.7962962962962963
0.33,0.7962962962962963
0.33,0.8148148148148148
0.35,0.8148148148148148
0.35,0.8333333333333334
0.36,0.8333333333333334
0.36,0.8703703703703703
0.37,0.8703703703703703
0.37,0.8888888888888888
0.41,0.8888888888888888
0.41,0.9074074074074074
0.42,0.9074074074074074
0.42,0.9259259259259259
0.49,0.9259259259259259
0.49,0.9629629629629629
0.52,0.9629629629629629
0.52,0.9814814814814815
0.88,0.9814814814814815
0.88,1.0
1.0,1.0
