Seed,Config,Accuracy,Precision,Recall,F1
42,Static MLP,0.7272727272727273,0.6304347826086957,0.5370370370370371,0.58
42,Adaptive MLP,0.7374686716791979,0.6620882894561587,0.5168251180198884,0.5551459102458106
42,Adaptive + Proactive,0.7315789473684211,0.6223405393018104,0.68552081102306,0.6150469534290532
7,Static MLP,0.7727272727272727,0.7111111111111111,0.5925925925925926,0.6464646464646465
7,Adaptive MLP,0.7462406015037595,0.6642168966351973,0.5328552402136933,0.583286198294193
7,Adaptive + Proactive,0.7052631578947368,0.5698293135435992,0.7176597415577926,0.6116939933268484
123,Static MLP,0.7532467532467533,0.7,0.5185185185185185,0.5957446808510638
123,Adaptive MLP,0.7418546365914787,0.6647808943989028,0.5160786483508946,0.5689495071140914
123,Adaptive + Proactive,0.7026315789473685,0.5491367942402425,0.7122995645034625,0.6058907881184503
