model,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.5600000000000000,0.8229629629629629
Decision Tree,0.7692307692307693,0.6842105263157895,0.6111111111111112,0.6451612903225806,0.8055555555555556
Random Forest,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.8142592592592592
Support Vector Machine,0.7207792207792207,0.6341463414634146,0.4814814814814815,0.5473684210526316,0.7970370370370370
Multi-Layer Perceptron,0.7532467532467533,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.8466666666666667
