model,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.8229629629629629
RF,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.8142592592592592
DT,0.7987012987012987,0.7446808510638298,0.6481481481481481,0.693069306930693,0.7921296296296296
SVM,0.7662337662337663,0.6862745098039216,0.6363636363636364,0.660377358490566,0.8044077134986226
Static MLP,0.7532467532467533,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.8466666666666667
